,,,,,,,,,,,,,,,,,
A4237,2445,6894,3203,3511,1536,1725,889,1003,0,0,0,0,0,0,0,0,
A4238,2080,3376,2485,2637,1185,1185,804,804,0,0,0,0,0,0,0,0,
A4239,3408,4485,1807,2268,1115,1208,529,555,0,0,0,0,0,0,0,0,
A4240,2425,3320,1133,1584,663,829,346,397,0,0,0,0,0,0,0,0,
A4241,2262,3541,1330,1572,712,890,264,386,114,114,0,0,0,0,0,0,
A4242,3008,4409,1514,1961,888,1065,509,538,161,161,0,0,0,0,0,0,
A4243,4022,4735,1830,2065,1039,1124,371,504,0,0,0,0,0,0,0,0,
A4244,4442,4863,1663,2209,962,1093,456,522,0,0,0,0,0,0,0,0,
A4245,4209,5378,2227,2653,887,1361,698,799,0,0,0,0,0,0,0,0,
A4246,1804,2939,1246,1467,612,745,333,404,150,150,0,0,0,0,0,0,
A4247,1776,2761,762,1267,304,520,73,203,82,84,162,162,0,0,0,0,
A4248,432,961,318,469,116,277,128,187,23,23,0,0,0,0,0,0,
A4249,1033,1681,210,696,206,378,70,180,68,69,112,112,134,134,0,0,
A4250,967,1293,394,640,217,403,152,220,48,48,140,140,0,0,0,0,
A4251,984,1763,410,728,239,315,116,170,73,73,151,151,0,0,0,0,
A4252,2966,4440,1749,2375,989,1241,547,686,0,0,0,0,0,0,0,0,
A4253,4515,5930,2060,2603,1222,1422,761,796,0,0,0,0,0,0,0,0,
A4254,2002,3357,1301,1778,744,1029,363,537,139,139,0,0,0,0,0,0,
A4255,5066,6832,2576,2900,1395,1556,816,872,0,0,0,0,0,0,0,0,
A4256,3863,7197,2689,4334,1487,1763,0,0,77,77,0,0,0,0,0,0,
A4257,3034,3390,1503,1774,863,948,496,501,159,159,0,0,0,0,0,0,
A4258,2448,3011,755,1430,524,569,122,122,0,0,0,0,0,0,0,0,
A4259,1734,1914,749,835,480,529,190,190,0,0,0,0,0,0,0,0,
A4260,1369,1783,712,889,427,464,258,312,0,0,0,0,0,0,0,0,
A4261,4507,4825,2293,2419,1230,1281,676,676,0,0,0,0,0,0,0,0,
A4262,4383,5842,1661,2910,1135,1637,910,930,0,0,0,0,0,0,0,0,
A4263,3954,5216,2498,3153,1608,1698,793,875,0,0,0,0,0,0,0,0,
A4264,4413,6041,2084,3071,1359,1561,806,869,0,0,0,0,0,0,0,0,
A4265,3399,5340,2619,3495,1563,1738,739,972,0,0,0,0,0,0,0,0,
A4266,5485,6547,3473,3526,1388,1709,943,970,0,0,0,0,0,0,0,0,
A4267,4574,6002,2823,3383,1674,1741,593,950,0,0,0,0,0,0,0,0,
A4268,4775,6016,2259,2342,1218,1226,581,606,0,0,0,0,0,0,0,0,
A4269,2288,5093,813,1836,611,1205,488,583,103,103,0,0,0,0,0,0,
A4270,3023,5720,1422,2218,578,1186,400,523,137,137,0,0,0,0,0,0,
A4271,3546,5744,996,2285,991,1215,435,548,131,131,0,0,0,0,0,0,
A4272,6479,6961,2347,3130,1404,1656,639,822,0,0,0,0,0,0,0,0,
A4273,3854,5667,1235,2181,879,1154,390,526,65,65,0,0,0,0,0,0,
A4274,6377,6893,2518,2979,1408,1613,704,792,0,0,0,0,0,0,0,0,
A4275,5012,6665,1439,2701,975,1371,432,661,0,0,0,0,0,0,0,0,
A4276,5823,6789,1211,2999,1339,1526,672,790,0,0,0,0,0,0,0,0,
A4277,2818,5616,1394,2473,788,1274,354,652,0,0,0,0,0,0,0,0,
A4278,6742,6956,2889,3182,1447,1658,797,797,0,0,0,0,0,0,0,0,
A4279,5882,6705,2557,2961,1342,1436,553,553,0,0,0,0,0,0,0,0,
A4280,5040,6003,2296,2461,1179,1315,510,510,0,0,0,0,0,0,0,0,
A4281,5134,6381,2318,2813,1261,1471,699,818,0,0,0,0,0,0,0,0,
A4282,6529,6986,3198,3325,1659,1714,901,901,0,0,0,0,0,0,0,0,
A4283,6334,6932,2623,3208,1455,1568,544,544,0,0,0,0,0,0,0,0,
A4284,6093,7024,3364,3579,1736,1745,995,996,99,99,0,0,0,0,0,0,
A4285,6403,7018,3530,3583,1663,1719,992,1002,0,0,0,0,0,0,0,0,
A4286,1938,2886,829,1346,517,936,298,482,0,0,0,0,0,0,0,0,
A4287,2910,3862,1489,1880,1003,1073,240,369,0,0,0,0,0,0,0,0,
A4288,3396,4309,1434,2007,911,1002,406,475,130,130,0,0,0,0,0,0,
A4289,5121,6411,2254,2859,1273,1568,724,743,0,0,0,0,0,0,0,0,
A4290,3024,4258,1540,2162,795,1044,411,546,167,167,0,0,0,0,0,0,
A4291,2993,3636,1298,1537,624,812,227,281,0,0,0,0,0,0,0,0,
A4292,1085,1849,466,886,352,597,197,296,27,27,118,118,0,0,0,0,
A4293,1789,2799,784,1155,562,723,221,294,119,119,0,0,0,0,0,0,
A4294,1791,2684,857,1272,405,783,345,399,0,0,0,0,0,0,0,0,
A4295,1818,2959,739,1287,439,726,238,339,71,126,0,0,0,0,0,0,
A4296,4192,5075,1955,2539,1228,1346,680,719,0,0,0,0,0,0,0,0,
A4297,4516,6406,2373,2986,1132,1515,685,723,0,0,0,0,0,0,0,0,
A4298,6964,7119,3354,3606,1731,1770,988,1005,0,0,0,0,0,0,0,0,
A4299,5802,6419,2997,3185,1592,1669,827,881,0,0,0,0,0,0,0,0,
A4300,5007,6563,3194,3260,1508,1680,887,888,0,0,0,0,0,0,0,0,
A4301,6042,6795,2993,3176,1505,1641,884,890,0,0,0,0,0,0,0,0,
A4302,3185,3831,1601,1677,826,881,375,391,0,0,0,0,0,0,0,0,
A4303,1855,2136,984,1029,649,679,430,430,57,57,0,0,0,0,0,0,
A4304,2156,3025,1273,1333,772,797,336,359,0,0,0,0,0,0,0,0,
A4305,4808,5533,2388,2739,1340,1546,460,823,0,0,0,0,0,0,0,0,
A4306,2962,3157,1334,1396,533,764,364,379,0,0,0,0,0,0,0,0,
A4307,5089,5391,2486,2857,1416,1500,740,753,0,0,0,0,0,0,0,0,
A4308,5954,6673,3042,3115,1427,1544,833,856,0,0,0,0,0,0,0,0,
A4309,3717,4690,1417,2563,1173,1344,592,839,0,0,0,0,0,0,0,0,
A4310,6038,6614,2684,3261,1489,1557,880,882,0,0,0,0,0,0,0,0,
A4311,3045,3411,1864,2152,824,1260,682,729,0,0,0,0,0,0,0,0,
A4312,6917,7116,3603,3620,1672,1767,975,1009,0,0,0,0,0,0,0,0,
A4313,4476,5834,2284,2882,1285,1469,584,801,0,0,0,0,0,0,0,0,
A4314,2975,3629,1494,1698,769,896,335,426,0,0,0,0,0,0,0,0,
A4315,2397,4342,1666,2136,635,1004,551,564,0,0,0,0,0,0,0,0,
A4316,2845,3545,1085,1383,563,734,209,274,121,121,0,0,0,0,0,0,
A4317,775,1367,334,705,268,484,155,286,38,38,87,87,0,0,0,0,
A4318,1392,1973,699,1026,418,640,171,299,90,90,0,0,0,0,0,0,
A4319,1461,2131,682,1043,560,656,232,285,0,0,158,158,0,0,0,0,
A4320,2224,4042,1620,2101,1011,1148,569,597,0,0,0,0,0,0,0,0,
A4321,1770,3048,834,1559,600,917,382,560,115,115,0,0,0,0,0,0,
A4322,1504,2498,741,1000,319,559,199,229,81,81,0,0,0,0,0,0,
A4323,4271,5446,1854,3131,1160,1579,513,774,0,0,0,0,0,0,0,0,
